State,County,Date,AQI,AQI_cat,co,ozone,no2,so2,wind,temp,humid,pressure,no
Alabama,Jefferson,2022-02-15,87,Moderate,0.41988349999999997,0.044118,12.630194500000002,0.9446429999999999,9.2958335,52.3145835,38.5,1007.895833,47.871501
Alabama,Jefferson,2022-02-16,68,Moderate,0.16051,0.039471,5.3903675,0.6656927499999999,12.383333499999999,60.783333,43.333333,1004.58125,1.9088745
Alabama,Jefferson,2022-02-17,53,Moderate,0.10866233333333333,0.026154,3.873684,0.35104175000000004,16.4520835,63.70625,58.958333,993.60625,1.4117325
Alabama,Jefferson,2022-02-20,52,Moderate,0.3145833333333333,0.036412,12.43125,0.49687499999999996,8.489583,50.6375,40.666667,1004.9375,15.585416500000001
Alabama,Jefferson,2022-02-21,61,Moderate,0.1819445,0.032765,10.3583335,0.73229175,10.885417,53.4354165,53.458333,1001.64375,2.541667
Alabama,Jefferson,2022-02-22,51,Moderate,0.137999,0.023412,5.153029999999999,0.13675575,11.7854165,65.675,63.666667,998.847917,3.2048705
Alabama,Jefferson,2022-02-23,31,Good,0.08601233333333333,0.010294,4.4125,0.10875,10.33125,63.5083335,66.125,1000.3604164999999,1.7238635
Alabama,Jefferson,2022-02-24,54,Moderate,0.19722216666666667,0.017235,7.800000000000001,0.40104175,10.079167,61.8729165,66.25,999.4416665,14.712500000000002
Alabama,Jefferson,2022-02-25,23,Good,0.11862933333333334,0.016059,3.3666669999999996,0.012202499999999998,11.825,46.6604165,64.833333,1005.6791665000001,1.3395835
Alabama,Jefferson,2022-02-26,48,Good,0.14166666666666666,0.013706,3.8125,0.034375,9.44375,40.8708335,59.25,1006.820833,1.09375
Alabama,Jefferson,2022-02-27,20,Good,0.1368055,0.016176,4.3895835000000005,-0.005208250000000001,10.908333500000001,44.8729165,67.125,1001.3229165,1.2479165
Alabama,Jefferson,2022-02-28,30,Good,0.17658733333333332,0.007899999999999999,9.309523500000001,0.015476,8.1933335,44.948750000000004,53.625,1001.8466665,5.696131
